PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§StE .l@	1199	N	NOM	Open	Stelle
§h&l .t@n	1198	V	VERB	Open	halten
§m|k .lIç .kWt	1196	N	NOM	Open	Moeglichkeit
§mon .tak	1196	N	NOM	Open	Montag
§kO+	1195	N	NOM	Open	Kopf
§fOlk	1192	N	NOM	Open	Volk
.zO §vjE .tI .S@n	1189	A	ADJ	Open	sowjetischen
.g@ §ge .b@n	1186	V	VERB	Open	gegeben
§nam	1184	V	VERB	Open	nahm
§dins .tak	1182	N	NOM	Open	Dienstag
§heɐ	1177	ADV	ADV	Open	her
§je .d@n	1172	PRON	PRO	Closed	jeden
.B §gUst	1165	N	NOM	Open	August
§vO .ç@n	1165	N	NOM	Open	Wochen
§=u .kUnft	1159	N	NOM	Open	Zukunft
.da §ge .g@n	1159	ADV	ADV	Open	dagegen
§zOn .tak	1156	N	NOM	Open	Sonntag
§zEks	1155	NUM	DET	Open	sechs
§SWnt	1151	V	VERB	Open	scheint
.prE .zi §dEnt	1151	N	NOM	Open	Praesident
§dO .n@rs .tak	1148	N	NOM	Open	Donnerstag
§Wn .=@l .n@n	1146	A	ADJ	Open	einzelnen
§f&nt	1143	V	VERB	Open	fand
§fast	1142	V	VERB	Open	fast
§f&st	1142	ADV	ADV	Open	fast
§hWst	1141	V	VERB	Open	heisst
§hWst	1141	V	VERB	Open	heisst
§zW .nɐ	1139	PRON	PRO	Closed	seiner
§zW .nɐ	1139	PRON	PRO	Closed	seiner
§zW .nɐ	1139	PRON	PRO	Closed	seiner
§zW .nɐ	1139	PRON	PRO	Closed	seiner
§zW .nɐ	1139	PRON	PRO	Closed	seiner
§v) .r@nt	1137	V	VERB	Open	waehrend
§v) .r@nt	1137	PREP	PRE	Closed	waehrend
§v) .r@nt	1137	ADV	ADV	Open	waehrend
§fa .tɐ	1134	N	NOM	Open	Vater
§kUr=	1129	A	ADJ	Open	kurz
§zOnst	1129	ADV	ADV	Open	sonst
§te .le .fon	1127	N	NOM	Open	Telefon
.da §heɐ	1118	ADV	ADV	Open	daher
§klW .n@n	1116	A	ADJ	Open	kleinen
§mW .n@	1115	V	VERB	Open	meine
§mW .n@	1115	PRON	PRO	Closed	meine
§mW .n@	1115	PRON	PRO	Closed	meine
§=il	1115	N	NOM	Open	Ziel
§vWs	1113	V	VERB	Open	weiss
§vWs	1113	A	ADJ	Open	weiss
.Eɐ §fOlk	1113	N	NOM	Open	Erfolg
§rIç .tIç	1112	A	ADJ	Open	richtig
.=u §z& .m@n .&r .bWt	1106	N	NOM	Open	Zusammenarbeit
§krik	1105	N	NOM	Open	Krieg
§i .n@n	1104	PRON	PRO	Closed	Ihnen
§mWn	1100	PRON	PRO	Closed	mein
§mWn	1100	PRON	PRO	Closed	mein
§nax .dem	1098	C	CONJ	Closed	nachdem
§e .b@n	1098	A	ADJ	Open	eben
§e .b@n	1098	ADV	ADV	Open	eben
§SprE .ç@n	1097	V	VERB	Open	sprechen
§B .s@r .dem	1097	C	CONJ	Closed	ausserdem
.kO .rEs .pOn §dEn .t@n	1097	N	NOM	Open	Korrespondenten
.ge .g@n §y .bɐ	1096	PREP	PRE	Closed	gegenueber
.ge .g@n §y .bɐ	1096	ADV	ADV	Open	gegenueber
.da §dUrç	1094	ADV	ADV	Open	dadurch
§lX .t@	1091	N	NOM	Open	Leute
.b@ §Stet	1087	V	VERB	Open	besteht
§dXJ .l&n=	1087	N	NOM	Open	Deutschlands
§vO .ç@	1085	N	NOM	Open	Woche
.da §rIn	1083	ADV	ADV	Open	darin
§gaɐ	1081	A	ADJ	Open	gar
§gaɐ	1081	ADV	ADV	Open	gar
